,sedentary,LPA,MPA,VPA,steps,active
441,1440,0,0,0,14562.0,4
442,1440,0,0,0,14437.0,4
443,1440,0,0,0,16003.0,4
444,1440,0,0,0,18871.0,4
445,1440,0,0,0,17125.0,4
446,1440,0,0,0,13893.0,4
447,1127,189,46,48,16814.0,4
448,544,376,53,17,20085.0,4
449,943,155,9,12,823.0,0
450,716,214,2,11,21119.0,1
451,543,319,37,33,17368.0,4
452,613,250,69,36,20929.0,4
453,408,416,65,2,24328.0,4
454,545,353,76,42,22289.0,4
455,550,429,31,19,9959.0,2
456,501,379,59,8,22558.0,4
457,578,299,56,61,6655.0,1
458,461,347,120,76,11485.0,3
459,947,49,0,0,5534.0,1
460,407,496,58,32,10272.0,3
461,462,398,73,22,16394.0,4
462,496,377,98,48,15090.0,4
463,287,544,121,65,19092.0,4
464,439,242,209,79,8198.0,2
465,606,347,14,12,8415.0,2
466,296,354,142,92,9350.0,2
467,1439,1,0,0,22013.0,4
468,1440,0,0,0,25148.0,4
469,1440,0,0,0,17831.0,4
470,1440,0,0,0,13994.0,4
471,1440,0,0,0,12387.0,3
472,1440,0,0,0,4851.0,0
473,1440,0,0,0,9400.0,2
474,1440,0,0,0,805.0,0
475,1185,163,21,10,1792.0,0
476,674,329,28,10,16762.0,3
477,755,213,6,11,3617.0,0
478,521,361,23,37,1954.0,0
479,536,291,44,89,3751.0,0
480,729,270,40,59,13189.0,4
481,641,187,37,37,13332.0,4
482,1172,253,14,1,8074.0,1
483,1192,171,70,7,7381.0,1
484,356,376,16,6,8602.0,1
485,204,354,179,71,7332.0,1
486,365,487,133,39,0.0,0
487,393,356,124,52,2097.0,0
488,436,305,91,21,477.0,0
489,531,241,73,48,21284.0,4
490,1440,0,0,0,18753.0,4
491,1440,0,0,0,10270.0,3
492,1440,0,0,0,5988.0,1
493,664,222,8,0,11335.0,3
494,705,289,12,22,2902.0,0
495,716,42,0,0,3806.0,0
496,1440,0,0,0,908.0,0
497,1440,0,0,0,10057.0,3
498,1373,67,0,0,11547.0,3
499,621,248,18,74,6466.0,1
500,847,122,0,0,6075.0,1
501,1343,97,0,0,6160.0,1
502,737,183,9,1,6506.0,1
503,509,251,80,67,40.0,0
504,640,259,20,46,5347.0,1
505,719,220,9,12,4724.0,0
506,786,231,4,12,23.0,0
507,706,260,3,11,6503.0,1
508,760,182,14,7,7958.0,1
509,1440,0,0,0,8500.0,2
510,1440,0,0,0,38.0,0
511,1440,0,0,0,4931.0,0
512,1440,0,0,0,3543.0,0
513,1440,0,0,0,8646.0,2
514,1440,0,0,0,12552.0,4
515,1440,0,0,0,7204.0,1
516,1342,98,0,0,867.0,0
517,1440,0,0,0,93.0,0
518,1440,0,0,0,0.0,0
519,1440,0,0,0,0.0,0
520,1440,0,0,0,0.0,0
521,1436,4,0,0,0.0,0
522,443,368,29,98,0.0,0
523,502,322,16,93,0.0,0
524,659,355,7,4,0.0,0
525,760,183,0,0,0.0,0
526,564,283,13,16,0.0,0
527,769,147,0,0,0.0,0
528,1328,93,15,4,0.0,0
529,1397,34,7,2,0.0,0
530,1048,353,26,13,0.0,0
531,1091,258,59,32,0.0,0
